"","SpeciesID","prob"
"202","Lithodes_couesi",6.87565709214533e-06
"203","Lithodes_turkayi",6.87565709214533e-06
"124","Enteroctopodidae",6.71330072691605e-06
"192","Lepidonotothen_squamifrons",6.2051997042962e-06
"80","Coelorinchus_fasciatus",6.0362621198719e-06
"284","Patagonotothen_guntheri",5.99043582315479e-06
"145","Genypterus_blacodes",5.88859841414093e-06
"255","Odostomia_sp",5.78964814315649e-06
"375","Turbonilla_strebeli",5.77390963449384e-06
"176","Idanthyrsus_macropaleus",5.61915306555711e-06
"232","Muraenolepis_spp",5.61915306555711e-06
"211","Macrourus_holotrachys",5.61915306553692e-06
"85","Convexella_magelhaenica",1.60817113706464e-06
"177","Ideogorgia_laurae",1.60817113706464e-06
"310","Primnoella_scotiae",1.60817113706464e-06
"311","Primnoisis_antarctica",1.60817113706464e-06
"369","Travisia_kerguelensis",8.66266795761892e-07
"26","Aplidium_spp",7.30986880483928e-07
"34","Ascidia_meridionalis",7.30986880483928e-07
"79","Cnemidocarpa_spp",7.30986880483928e-07
"109","Didemnum_studeri",7.30986880483928e-07
"326","Pyura_spp",7.30986880483928e-07
"352","Sycozoa_sigillinoides",7.30986880483928e-07
"11","Aega_semicarinata",5.86046638739085e-07
"12","Aglaophamus_virginis",5.44509892426139e-07
"354","Sympagurus_dimorphus",5.09430667413534e-07
"140","Flabellum_spp",4.17109054334982e-07
"216","Mancopsetta_maculata",4.17109054334982e-07
"137","Eurypodius_longirostris",4.07593258419903e-07
"155","Halicarcinus_planatus",4.07593258419903e-07
"276","Paralomis_granulosa",4.07593258419903e-07
"277","Paralomis_spinosissima",4.07593258419903e-07
"205","Lumbrineridae",3.62012030316493e-07
"9","Adelomelon_ancilla",2.69445348604049e-07
"31","Argeneuthria_varicosa",2.69445348604049e-07
"215","Maldanidae",2.69445348604049e-07
"254","Odontocymbiola_magellanica",2.69445348604049e-07
"282","Patagonotothen_cornucola",2.69445348604049e-07
"283","Patagonotothen_elegans",2.69445348604049e-07
"285","Patagonotothen_kreffti",2.69445348604049e-07
"144","Fusitriton_magellanicus",1.90857121927868e-07
"68","Campylaspis_spp",1.01837408993631e-07
"94","Cumella_argentinae",1.01837408993631e-07
"102","Diastylis_granulata",1.01837408993631e-07
"103","Diastylis_hammoniae",1.01837408993631e-07
"104","Diastylis_planifrons",1.01837408993631e-07
"121","Ekleptostylis_heardi",1.01837408993631e-07
"122","Ekleptostylis_vemae",1.01837408993631e-07
"133","Eunice_pennata",1.01837408993631e-07
"160","Hemilamprops_chilensis",1.01837408993631e-07
"167","Holostylis_uniramosa",1.01837408993631e-07
"172","Ianthopsis_laevis",1.01837408993631e-07
"196","Leucon_septemdentatus",1.01837408993631e-07
"281","Pareuthria_spp",1.01837408993631e-07
"299","Platytyphlops_sarahae",1.01837408993631e-07
"370","Trophon_ohlini",1.01837408993631e-07
"371","Trophon_plicatus",1.01837408993631e-07
"135","Eurhomalea_sp",9.20813574337994e-08
"65","Calliostoma_spp",5.90452923697668e-08
"217","Margarella_spp",4.33067837071147e-08
"319","Psolus_antarcticus",3.24457107277376e-08
"320","Psolus_patagonicus",3.24457107277376e-08
"321","Psolus_segregatus",3.24457107277376e-08
"35","Astarte_sp",1.57385086626521e-08
"84","Colpospirella_algida",1.57385086626521e-08
"95","Cyclochlamys_argentina",1.57385086626521e-08
"125","Epitonium_sp",1.57385086626521e-08
"165","Hiatella_sp",1.57385086626521e-08
"289","Pellilitorina_pellita",1.57385086626521e-08
"1","Abyssianira_argentenensis",0
"2","Abyssianira_dentifrons",0
"3","Abyssianira_spp",0
"5","Acodontaster_elongatus",0
"7","Actinauge_longicornis",0
"8","Actinostola_crassicornis",0
"10","Advenogonium_fuegiae",0
"15","Allorostrata_ovalis",0
"16","Allorostrata_scutifrons",0
"17","Amblyraja_doellojuradoi",0
"18","Amblyraja_georgiana",0
"20","Anasterias_antarctica",0
"21","Anasterias_sp",0
"22","Andaniotes_linearis",0
"25","Anthoptilum_grandiflorum",0
"28","Arctocephalus_australis",0
"29","Ardenna_gravis",0
"30","Ardenna_grisea",0
"32","Aristias_antarcticus",0
"40","Austrofilius_furcatus",0
"41","Austrofilius_sp",0
"42","Austronanus_dentatus",0
"45","Balaenoptera_acutorostrata",0
"46","Balaenoptera_bonaerensis",0
"47","Balaenoptera_borealis",0
