Prey,Predator,PreyGroup,PredGroup,PredStrategy,FoodSource,Reference
Dinoflagellates_heterosol,Clausocalanus_spp,Dinoflagellates,Copepoda,Suspension-feeder,Primary producer,Schultes_etal_2006
Gymnodinium_sp,Clausocalanus_spp,Dinoflagellates,Copepoda,Suspension-feeder,Primary producer,Schultes_etal_2006
Dictyocha_speculum,Clausocalanus_spp,Silicoflagellates,Copepoda,Suspension-feeder,Primary producer,Schultes_etal_2006
Diatoms_benthic,Clavularia_sp,Diatoms,Coral,Suspension-feeder,Primary producer,Encyclopedia of Life
Diatoms_centric,Clavularia_sp,Diatoms,Coral,Suspension-feeder,Primary producer,Encyclopedia of Life
Diatoms_pennate,Clavularia_sp,Diatoms,Coral,Suspension-feeder,Primary producer,Encyclopedia of Life
Foraminifera,Clavularia_sp,Foraminifera,Coral,Suspension-feeder,Primary producer,GloBI
Diatoms_benthic,Cnemidocarpa_spp,Diatoms,Ascidiacea,Suspension-feeder,Primary producer,Tatian_etal_2002
Diatoms_centric,Cnemidocarpa_spp,Diatoms,Ascidiacea,Suspension-feeder,Primary producer,Tatian_etal_2002
Diatoms_pennate,Cnemidocarpa_spp,Diatoms,Ascidiacea,Suspension-feeder,Primary producer,Tatian_etal_2002
Bacteria,Cnemidocarpa_spp,Bacteria,Ascidiacea,Suspension-feeder,Bacteria,Tatian_etal_2004
Azadinium_sp,Cnemidocarpa_spp,Dinoflagellates,Ascidiacea,Suspension-feeder,Primary producer,Tatian_etal_2004
Dinoflagellates_heterosol,Cnemidocarpa_spp,Dinoflagellates,Ascidiacea,Suspension-feeder,Primary producer,Tatian_etal_2004
Gymnodinium_sp,Cnemidocarpa_spp,Dinoflagellates,Ascidiacea,Suspension-feeder,Primary producer,Tatian_etal_2004
Detritus,Cnemidocarpa_spp,Non-living,Ascidiacea,Suspension-feeder,Detritus,Tatian_etal_2004
Emiliania_huxleyi,Cnemidocarpa_spp,Coccolithophorids,Ascidiacea,Suspension-feeder,Primary producer,Tatian_etal_2005
Phaeocystis_antarctica,Cnemidocarpa_spp,Coccolithophorids,Ascidiacea,Suspension-feeder,Primary producer,Tatian_etal_2005
Doryteuthis_gahi,Coelorinchus_fasciatus,Cephalopoda,Fish_BenPel,Hunter,Heterotroph,FishBase
Eggs_Fish,Coelorinchus_fasciatus,Zooplankton,Fish_BenPel,Hunter,Heterotroph,FishBase
Harmothoe_sp,Coelorinchus_fasciatus,Polychaeta,Fish_BenPel,Hunter,Heterotroph,Jumars_etal_2015
Pagurus_comptus,Coelorinchus_fasciatus,Decapoda,Fish_BenPel,Hunter,Heterotroph,FishBase
Pagurus_forceps,Coelorinchus_fasciatus,Decapoda,Fish_BenPel,Hunter,Heterotroph,FishBase
Euphausia_spp,Coelorinchus_fasciatus,Zooplankton,Fish_BenPel,Hunter,Heterotroph,FishBase
Themisto_gaudichaudii,Coelorinchus_fasciatus,Zooplankton,Fish_BenPel,Hunter,Heterotroph,FishBase
Grimothea_gregaria,Coelorinchus_fasciatus,Decapoda,Fish_BenPel,Hunter,Heterotroph,FishBase
Harmothoe_sp,Coelorinchus_marinii,Polychaeta,Fish_BenPel,Hunter,Heterotroph,Jumars_etal_2015
Doryteuthis_gahi,Coelorinchus_marinii,Cephalopoda,Fish_BenPel,Hunter,Heterotroph,FishBase
Grimothea_gregaria,Coelorinchus_marinii,Decapoda,Fish_BenPel,Hunter,Heterotroph,FishBase
Grimothea_spinosa,Coelorinchus_marinii,Decapoda,Fish_BenPel,Hunter,Heterotroph,FishBase
Foraminifera,Coelorinchus_marinii,Foraminifera,Fish_BenPel,Suspension-feeder,Primary producer,FishBase
Glycera_spp,Colossendeis_megalonyx,Polychaeta,Benthos_Misc,Carnivore,Heterotroph,Encyclopedia of Life
Sabellidae,Colossendeis_megalonyx,Polychaeta,Benthos_Misc,Carnivore,Heterotroph,GloBI
Bacteria,Convexella_magelhaenica,Bacteria,Coral,Suspension-feeder,Bacteria,Elias-Piera_etal_2013
Cyrtostrombidium_sp,Convexella_magelhaenica,Ciliates,Coral,Suspension-feeder,Heterotroph,Orejas_etal_2003
Laboea_strobila,Convexella_magelhaenica,Ciliates,Coral,Suspension-feeder,Heterotroph,Orejas_etal_2003
Lohmanniella_sp,Convexella_magelhaenica,Ciliates,Coral,Suspension-feeder,Heterotroph,Orejas_etal_2003
Strobilidium_sp,Convexella_magelhaenica,Ciliates,Coral,Suspension-feeder,Heterotroph,Orejas_etal_2003
Strombidinopsis_sp,Convexella_magelhaenica,Ciliates,Coral,Suspension-feeder,Heterotroph,Orejas_etal_2003
Strombidium_spp,Convexella_magelhaenica,Ciliates,Coral,Suspension-feeder,Heterotroph,Orejas_etal_2003
Diatoms_benthic,Convexella_magelhaenica,Diatoms,Coral,Suspension-feeder,Primary producer,Orejas_etal_2003
Dinoflagellates_heterosol,Convexella_magelhaenica,Dinoflagellates,Coral,Suspension-feeder,Heterotroph,Orejas_etal_2003
Detritus,Convexella_magelhaenica,Non-living,Coral,Suspension-feeder,Detritus,Orejas_etal_2003
Diatoms_centric,Copepodite,Diatoms,Zooplankton,Hunter,Primary producer,Takahashi&Tiselius_2005
Diatoms_pennate,Copepodite,Diatoms,Zooplankton,Hunter,Primary producer,Takahashi&Tiselius_2005
Rhizosolenia_crassa,Copepodite,Diatoms,Zooplankton,Hunter,Heterotroph,Mullin_1963
Cyrtostrombidium_sp,Copepodite,Ciliates,Zooplankton,Hunter,Heterotroph,Saiz&Calbet_2007
Laboea_strobila,Copepodite,Ciliates,Zooplankton,Hunter,Heterotroph,Saiz&Calbet_2007
Lohmanniella_sp,Copepodite,Ciliates,Zooplankton,Hunter,Heterotroph,Saiz&Calbet_2007
Strobilidium_sp,Copepodite,Ciliates,Zooplankton,Hunter,Heterotroph,Saiz&Calbet_2007
Strombidinopsis_sp,Copepodite,Ciliates,Zooplankton,Hunter,Heterotroph,Saiz&Calbet_2007
Strombidium_spp,Copepodite,Ciliates,Zooplankton,Hunter,Heterotroph,Saiz&Calbet_2007
Foraminifera,Coperonus_comptus,Foraminifera,Isopoda,Deposit-feeder,Primary producer,Doti_pers.com.
Detritus,Coperonus_comptus,Non-living,Isopoda,Deposit-feeder,Detritus,Doti_pers.com.
Austrocidaris_canaliculata,Cosmasterias_lurida,Echinodermata,Echinodermata,Hunter,Heterotroph,Fraysse_pers.com.
Austrocidaris_spinulosida,Cosmasterias_lurida,Echinodermata,Echinodermata,Hunter,Heterotroph,Fraysse_pers.com.
Pseudechinus_magellanicus,Cosmasterias_lurida,Echinodermata,Echinodermata,Hunter,Heterotroph,Fraysse_pers.com.
Schizasteridae,Cosmasterias_lurida,Echinodermata,Echinodermata,Hunter,Heterotroph,Fraysse_pers.com.
Sterechinus_agassizii,Cosmasterias_lurida,Echinodermata,Echinodermata,Hunter,Heterotroph,Fraysse_pers.com.
Necromass,Cosmasterias_lurida,Non-living,Echinodermata,Scavenger,Necromass,Fraysse_pers.com.
Callochiton_puniceus,Cosmasterias_lurida,Polyplacophora,Echinodermata,Hunter,Heterotroph,Fraysse_pers.com.
Leptochiton_kerguelensis,Cosmasterias_lurida,Polyplacophora,Echinodermata,Hunter,Heterotroph,Fraysse_pers.com.
Leptochiton_medinae,Cosmasterias_lurida,Polyplacophora,Echinodermata,Hunter,Heterotroph,Fraysse_pers.com.
Nuttallochiton_hyadesi,Cosmasterias_lurida,Polyplacophora,Echinodermata,Hunter,Heterotroph,Fraysse_pers.com.
Nuttallochiton_martiali,Cosmasterias_lurida,Polyplacophora,Echinodermata,Hunter,Heterotroph,Fraysse_pers.com.
Tonicia_lebruni,Cosmasterias_lurida,Polyplacophora,Echinodermata,Hunter,Heterotroph,Fraysse_pers.com.
Grimothea_gregaria,Cottoperca_trigloides,Decapoda,Fish_BenPel,Hunter,Heterotroph,Vinuesa&Varisco_2007
Tinerfe_cyanea,Cottoperca_trigloides,Zooplankton,Fish_BenPel,Hunter,Heterotroph,Mianzan_etal_1996
Thymops_birsteini,Cottoperca_trigloides,Decapoda,Fish_BenPel,Hunter,Heterotroph,Laptikhovsky&Arkhipkin_2003
Agonopsis_chiloensis,Cottoperca_trigloides,Fish_BenPel,Fish_BenPel,Hunter,Heterotroph,Laptikhovsky&Arkhipkin_2003
Cottoperca_trigloides,Cottoperca_trigloides,Fish_BenPel,Fish_BenPel,Hunter,Heterotroph,Laptikhovsky&Arkhipkin_2003
Dissostichus_eleginoides,Cottoperca_trigloides,Fish_BenPel,Fish_BenPel,Hunter,Heterotroph,Laptikhovsky&Arkhipkin_2003
Macruronus_novaezelandiae,Cottoperca_trigloides,Fish_BenPel,Fish_BenPel,Hunter,Heterotroph,Laptikhovsky&Arkhipkin_2003
Patagonotothen_ramsayi,Cottoperca_trigloides,Fish_BenPel,Fish_BenPel,Hunter,Heterotroph,Laptikhovsky&Arkhipkin_2003
Bathyraja_albomaculata,Cottoperca_trigloides,Fish_Demersal,Fish_BenPel,Hunter,Heterotroph,Laptikhovsky&Arkhipkin_2003
Bathyraja_brachyurops,Cottoperca_trigloides,Fish_Demersal,Fish_BenPel,Hunter,Heterotroph,Laptikhovsky&Arkhipkin_2003
Iluocoetes_fimbriatus,Cottoperca_trigloides,Fish_Demersal,Fish_BenPel,Hunter,Heterotroph,Laptikhovsky&Arkhipkin_2003
Sprattus_fuegensis,Cottoperca_trigloides,Fish_Pel,Fish_BenPel,Hunter,Heterotroph,Laptikhovsky&Arkhipkin_2003
Necromass,Cottoperca_trigloides,Non-living,Fish_BenPel,Scavenger,Necromass,Laptikhovsky&Arkhipkin_2003
Euphausia_spp,Cottoperca_trigloides,Zooplankton,Fish_BenPel,Hunter,Heterotroph,Laptikhovsky&Arkhipkin_2003
Salilota_australis,Cottoperca_trigloides,Fish_Demersal,Fish_BenPel,Hunter,Heterotroph,Laptikhovsky&Arkhipkin_2003; Vinuesa&Varisco_2007
Micromesistius_australis,Cottoperca_trigloides,Fish_Pel,Fish_BenPel,Hunter,Heterotroph,Laptikhovsky&Arkhipkin_2003; Vinuesa&Varisco_2007
Colossendeis_megalonyx,Cottunculus_granulosus,Benthos_Misc,Fish_Demersal,Hunter,Heterotroph,Laptikhovsky&Brickle_2011
Enteroctopodidae,Cottunculus_granulosus,Cephalopoda,Fish_Demersal,Hunter,Heterotroph,Laptikhovsky&Brickle_2011
Grimothea_gregaria,Cottunculus_granulosus,Decapoda,Fish_Demersal,Hunter,Heterotroph,Laptikhovsky&Brickle_2011
Thymops_birsteini,Cottunculus_granulosus,Decapoda,Fish_Demersal,Hunter,Heterotroph,Laptikhovsky&Brickle_2011
Patagonotothen_ramsayi,Cottunculus_granulosus,Fish_BenPel,Fish_Demersal,Hunter,Heterotroph,Laptikhovsky&Brickle_2011
Coelorinchus_fasciatus,Cottunculus_granulosus,Fish_Demersal,Fish_Demersal,Hunter,Heterotroph,Laptikhovsky&Brickle_2011
Acanthoserolis_schythei,Cottunculus_granulosus,Isopoda,Fish_Demersal,Hunter,Heterotroph,Laptikhovsky&Brickle_2011
Neoserolis_exigua,Cottunculus_granulosus,Isopoda,Fish_Demersal,Hunter,Heterotroph,Laptikhovsky&Brickle_2011
Eggs_Fish,Cottunculus_granulosus,Zooplankton,Fish_Demersal,Hunter,Heterotroph,Laptikhovsky&Brickle_2011
Euphausia_spp,Cottunculus_granulosus,Zooplankton,Fish_Demersal,Hunter,Heterotroph,Laptikhovsky&Brickle_2011
Bacteria,Tetractinellida,Bacteria,Porifera,Suspension-feeder,Bacteria,Parzanini_etal_2018
Azadinium_sp,Tetractinellida,Dinoflagellates,Porifera,Suspension-feeder,Primary producer,Ruppert_etal_2004
Dinoflagellates_heterosol,Tetractinellida,Dinoflagellates,Porifera,Suspension-feeder,Primary producer,Ruppert_etal_2004
Foraminifera,Tetractinellida,Foraminifera,Porifera,Suspension-feeder,Heterotroph,Ruppert_etal_2004
Synechococcus_sp,Tetractinellida,Picophytoplankton,Porifera,Suspension-feeder,Primary producer,Ruppert_etal_2004
Dictyocha_speculum,Tetractinellida,Silicoflagellates,Porifera,Suspension-feeder,Primary producer,Ruppert_etal_2004
Detritus,Cryosignum_sp,Non-living,Isopoda,Deposit-feeder,Detritus,Doti_pers.com.
Cyrtostrombidium_sp,Ctenocalanus_vanus,Ciliates,Copepoda,Suspension-feeder,Heterotroph,Schultes_etal_2006
Laboea_strobila,Ctenocalanus_vanus,Ciliates,Copepoda,Suspension-feeder,Heterotroph,Schultes_etal_2006
Lohmanniella_sp,Ctenocalanus_vanus,Ciliates,Copepoda,Suspension-feeder,Heterotroph,Schultes_etal_2006
Strobilidium_sp,Ctenocalanus_vanus,Ciliates,Copepoda,Suspension-feeder,Heterotroph,Schultes_etal_2006
Strombidinopsis_sp,Ctenocalanus_vanus,Ciliates,Copepoda,Suspension-feeder,Heterotroph,Schultes_etal_2006
Strombidium_spp,Ctenocalanus_vanus,Ciliates,Copepoda,Suspension-feeder,Heterotroph,Schultes_etal_2006
Diatoms_pennate,Ctenocalanus_vanus,Diatoms,Copepoda,Suspension-feeder,Primary producer,Schultes_etal_2006
Rhizosolenia_crassa,Ctenocalanus_vanus,Diatoms,Copepoda,Suspension-feeder,Primary producer,Schultes_etal_2006
Diatoms_benthic,Ctenocalanus_vanus,Diatoms,Copepoda,Suspension-feeder,Primary producer,Schultes_etal_2006
Azadinium_sp,Ctenocalanus_vanus,Dinoflagellates,Copepoda,Suspension-feeder,Primary producer,Schultes_etal_2006
Dinoflagellates_heterosol,Ctenocalanus_vanus,Dinoflagellates,Copepoda,Suspension-feeder,Primary producer,Schultes_etal_2006
Gymnodinium_sp,Ctenocalanus_vanus,Dinoflagellates,Copepoda,Suspension-feeder,Primary producer,Schultes_etal_2006
Dictyocha_speculum,Ctenocalanus_vanus,Silicoflagellates,Copepoda,Suspension-feeder,Primary producer,Schultes_etal_2006
Diatoms_centric,Ctenocalanus_vanus,Diatoms,Copepoda,Suspension-feeder,Primary producer,GloBI
Pelagobia_longicirrata,Ctenocalanus_vanus,Polychaeta,Copepoda,Suspension-feeder,Primary producer,GloBI
Pseudosagitta_gazellae,Ctenocalanus_vanus,Zooplankton,Copepoda,Suspension-feeder,Heterotroph,GloBI
Detritus,Ctenodiscus_australis,Non-living,Echinodermata,Deposit-feeder,Detritus,Fraysse_pers.com.
Bacteria,Cumella_argentinae,Bacteria,Cumacea,Grazer,Heterotroph,Roccatagliata_pers.com.
Emiliania_huxleyi,Cyclochlamys_argentina,Coccolithophorids,Bivalvia,Suspension-feeder,Primary producer,Rosa_etal_2018
Diatoms_benthic,Cyclochlamys_argentina,Phytoplankton,Bivalvia,Suspension-feeder,Primary producer,Rosa_etal_2018
Diatoms_centric,Cyclochlamys_argentina,Phytoplankton,Bivalvia,Suspension-feeder,Primary producer,Rosa_etal_2018
Diatoms_pennate,Cyclochlamys_argentina,Phytoplankton,Bivalvia,Suspension-feeder,Primary producer,Rosa_etal_2018
Bacteria,Cyrtostrombidium_sp,Bacteria,Ciliates,Suspension-feeder,Bacteria,Bernard&Rassoulzadegan_1990
Bacteria,Cystodytes_antarcticus,Bacteria,Ascidiacea,Suspension-feeder,Bacteria,Tatian_pers.com.
Emiliania_huxleyi,Cystodytes_antarcticus,Coccolithophorids,Ascidiacea,Suspension-feeder,Primary producer,Tatian_pers.com.
Phaeocystis_antarctica,Cystodytes_antarcticus,Coccolithophorids,Ascidiacea,Suspension-feeder,Primary producer,Tatian_pers.com.
Diatoms_benthic,Cystodytes_antarcticus,Diatoms,Ascidiacea,Suspension-feeder,Primary producer,Tatian_pers.com.
Diatoms_centric,Cystodytes_antarcticus,Diatoms,Ascidiacea,Suspension-feeder,Primary producer,Tatian_pers.com.
Diatoms_pennate,Cystodytes_antarcticus,Diatoms,Ascidiacea,Suspension-feeder,Primary producer,Tatian_pers.com.
Azadinium_sp,Cystodytes_antarcticus,Dinoflagellates,Ascidiacea,Suspension-feeder,Primary producer,Tatian_pers.com.
Dinoflagellates_heterosol,Cystodytes_antarcticus,Dinoflagellates,Ascidiacea,Suspension-feeder,Primary producer,Tatian_pers.com.
Gymnodinium_sp,Cystodytes_antarcticus,Dinoflagellates,Ascidiacea,Suspension-feeder,Primary producer,Tatian_pers.com.
Detritus,Cystodytes_antarcticus,Non-living,Ascidiacea,Suspension-feeder,Detritus,Tatian_pers.com.
Primnoella_scotiae,Dactylanthus_antarcticus,Coral,Cnidaria,Suspension-feeder,Heterotroph,Peck&Brockington_2013
Thouarella_spp,Dactylanthus_antarcticus,Coral,Cnidaria,Suspension-feeder,Heterotroph,Encyclopedia of Life
Convexella_magelhaenica,Dactylanthus_antarcticus,Coral,Cnidaria,Suspension-feeder,Heterotroph,Schejter_pers.com.
Themisto_gaudichaudii,Daption_capense,Zooplankton,SeaBirds,Hunter,Heterotroph,Bocher_etal_2001
Tulpa_tulipifera,Daption_capense,Cnidaria,SeaBirds,Hunter,Heterotroph,GloBI
Doryteuthis_gahi,Daption_capense,Cephalopoda,SeaBirds,Hunter,Heterotroph,GloBI
Campanularia_sp,Daption_capense,Cnidaria,SeaBirds,Hunter,Heterotroph,GloBI
Obelia_spp,Daption_capense,Zooplankton,SeaBirds,Hunter,Heterotroph,GloBI
Austrodoris_sp,Daption_capense,Gastropoda,SeaBirds,Hunter,Heterotroph,GloBI
Necromass,Daption_capense,Non-living,SeaBirds,Scavenger,Heterotroph,GloBI
Euphausia_spp,Daption_capense,Zooplankton,SeaBirds,Hunter,Heterotroph,GloBI
Pseudosagitta_gazellae,Daption_capense,Zooplankton,SeaBirds,Hunter,Heterotroph,GloBI
Rhincalanus_gigas,Daption_capense,Copepoda,SeaBirds,Hunter,Heterotroph,GloBI
Sprattus_fuegensis,Daption_capense,Fish_Pel,SeaBirds,Hunter,Heterotroph,RayaRey_pers.com.
Detritus,Desmosoma_sp,Non-living,Isopoda,Deposit-feeder,Detritus,Doti_pers.com.
Diatoms_benthic,Diastylis_granulata,Diatoms,Cumacea,Suspension-feeder,Primary producer,Blazewicz-Paszkowycz&Ligowski_2002
Diatoms_centric,Diastylis_granulata,Diatoms,Cumacea,Suspension-feeder,Primary producer,Blazewicz-Paszkowycz&Ligowski_2002
Diatoms_pennate,Diastylis_granulata,Diatoms,Cumacea,Suspension-feeder,Primary producer,Blazewicz-Paszkowycz&Ligowski_2002
Detritus,Diastylis_granulata,Non-living,Cumacea,Deposit-feeder,Detritus,Blazewicz-Paszkowycz&Ligowski_2002
Diatoms_benthic,Diastylis_hammoniae,Diatoms,Cumacea,Suspension-feeder,Primary producer,Blazewicz-Paszkowycz&Ligowski_2002
Diatoms_centric,Diastylis_hammoniae,Diatoms,Cumacea,Suspension-feeder,Primary producer,Blazewicz-Paszkowycz&Ligowski_2002
Diatoms_pennate,Diastylis_hammoniae,Diatoms,Cumacea,Suspension-feeder,Primary producer,Blazewicz-Paszkowycz&Ligowski_2002
Detritus,Diastylis_hammoniae,Non-living,Cumacea,Deposit-feeder,Detritus,Blazewicz-Paszkowycz&Ligowski_2002
Diatoms_benthic,Diastylis_planifrons,Diatoms,Cumacea,Suspension-feeder,Primary producer,Blazewicz-Paszkowycz&Ligowski_2002
Diatoms_centric,Diastylis_planifrons,Diatoms,Cumacea,Suspension-feeder,Primary producer,Blazewicz-Paszkowycz&Ligowski_2002
Diatoms_pennate,Diastylis_planifrons,Diatoms,Cumacea,Suspension-feeder,Primary producer,Blazewicz-Paszkowycz&Ligowski_2002
Detritus,Diastylis_planifrons,Non-living,Cumacea,Deposit-feeder,Detritus,Blazewicz-Paszkowycz&Ligowski_2002
Bacteria,Didemnum_studeri,Bacteria,Ascidiacea,Suspension-feeder,Primary producer,Tatian_pers.com.
Emiliania_huxleyi,Didemnum_studeri,Coccolithophorids,Ascidiacea,Suspension-feeder,Primary producer,Tatian_pers.com.
Phaeocystis_antarctica,Didemnum_studeri,Coccolithophorids,Ascidiacea,Suspension-feeder,Primary producer,Tatian_pers.com.
Diatoms_benthic,Didemnum_studeri,Diatoms,Ascidiacea,Suspension-feeder,Primary producer,Tatian_pers.com.
Diatoms_centric,Didemnum_studeri,Diatoms,Ascidiacea,Suspension-feeder,Primary producer,Tatian_pers.com.
Diatoms_pennate,Didemnum_studeri,Diatoms,Ascidiacea,Suspension-feeder,Primary producer,Tatian_pers.com.
Azadinium_sp,Didemnum_studeri,Dinoflagellates,Ascidiacea,Suspension-feeder,Primary producer,Tatian_pers.com.
Dinoflagellates_heterosol,Didemnum_studeri,Dinoflagellates,Ascidiacea,Suspension-feeder,Primary producer,Tatian_pers.com.
Gymnodinium_sp,Didemnum_studeri,Dinoflagellates,Ascidiacea,Suspension-feeder,Primary producer,Tatian_pers.com.
Detritus,Didemnum_studeri,Non-living,Ascidiacea,Suspension-feeder,Primary producer,Tatian_pers.com.
Dissostichus_eleginoides,Diomedea_sp,Fish_BenPel,SeaBirds,Hunter,Heterotroph,RayaRey&Huettmann_2020
Themisto_gaudichaudii,Diomedea_sp,Zooplankton,SeaBirds,Hunter,Heterotroph,Xavier_etal_2003
Necromass,Diomedea_sp,Non-living,SeaBirds,Scavenger,Necromass,Xavier_etal_2003
Doryteuthis_gahi,Diomedea_sp,Cephalopoda,SeaBirds,Hunter,Heterotroph,Encyclopedia of Life
Macrourus_holotrachys,Diomedea_sp,Fish_BenPel,SeaBirds,Hunter,Heterotroph,Encyclopedia of Life
Euphausia_spp,Diomedea_sp,Zooplankton,SeaBirds,Hunter,Heterotroph,GloBI
Necromass,Diplodontias_singularis,Non-living,Echinodermata,Scavenger,Necromass,Fraysse_pers.com.
Ctenodiscus_australis,Diplopteraster_clarki,Echinodermata,Echinodermata,Hunter,Heterotroph,Botto_etal_2006
Adelomelon_ancilla,Diplopteraster_clarki,Gastropoda,Echinodermata,Hunter,Heterotroph,Botto_etal_2006
Fusitriton_magellanicus,Diplopteraster_clarki,Gastropoda,Echinodermata,Hunter,Heterotroph,Botto_etal_2006
Odontocymbiola_magellanica,Diplopteraster_clarki,Gastropoda,Echinodermata,Hunter,Heterotroph,Botto_etal_2006
Lithodes_confundens,Dissostichus_eleginoides,Decapoda,Fish_BenPel,Hunter,Heterotroph,Garcia de la Rosa_etal_1997
Lithodes_couesi,Dissostichus_eleginoides,Decapoda,Fish_BenPel,Hunter,Heterotroph,Garcia de la Rosa_etal_1997
Lithodes_turkayi,Dissostichus_eleginoides,Decapoda,Fish_BenPel,Hunter,Heterotroph,Garcia de la Rosa_etal_1997
Agonopsis_chiloensis,Dissostichus_eleginoides,Fish_BenPel,Fish_BenPel,Hunter,Heterotroph,Garcia de la Rosa_etal_1997
Macruronus_novaezelandiae,Dissostichus_eleginoides,Fish_BenPel,Fish_BenPel,Hunter,Heterotroph,Garcia de la Rosa_etal_1997
Patagonotothen_guntheri,Dissostichus_eleginoides,Fish_BenPel,Fish_BenPel,Hunter,Heterotroph,Garcia de la Rosa_etal_1997
Micromesistius_australis,Dissostichus_eleginoides,Fish_Pel,Fish_BenPel,Hunter,Heterotroph,Garcia de la Rosa_etal_1997
Macrourus_holotrachys,Dissostichus_eleginoides,Fish_BenPel,Fish_BenPel,Hunter,Heterotroph,Garcia de la Rosa_etal_1997; Troccoli_etal_2020
Notophycis_marginata,Dissostichus_eleginoides,Fish_BenPel,Fish_BenPel,Hunter,Heterotroph,Garcia de la Rosa_etal_1997; Troccoli_etal_2020
Patagonotothen_ramsayi,Dissostichus_eleginoides,Fish_BenPel,Fish_BenPel,Hunter,Heterotroph,Garcia de la Rosa_etal_1997; Troccoli_etal_2020
Coelorinchus_fasciatus,Dissostichus_eleginoides,Fish_Demersal,Fish_BenPel,Hunter,Heterotroph,Garcia de la Rosa_etal_1997; Troccoli_etal_2020
Genypterus_blacodes,Dissostichus_eleginoides,Fish_Demersal,Fish_BenPel,Hunter,Heterotroph,Garcia de la Rosa_etal_1997; Troccoli_etal_2020
Iluocoetes_fimbriatus,Dissostichus_eleginoides,Fish_Demersal,Fish_BenPel,Hunter,Heterotroph,Garcia de la Rosa_etal_1997; Troccoli_etal_2020
Dissostichus_eleginoides,Dissostichus_eleginoides,Fish_BenPel,Fish_BenPel,Cannibalism,Heterotroph,Troccoli_etal_2020
Salilota_australis,Dissostichus_eleginoides,Fish_Demersal,Fish_BenPel,Hunter,Heterotroph,Troccoli_etal_2020
Sprattus_fuegensis,Dissostichus_eleginoides,Fish_Pel,Fish_BenPel,Hunter,Heterotroph,Troccoli_etal_2020
Idanthyrsus_macropaleus,Dissostichus_eleginoides,Polychaeta,Fish_BenPel,Hunter,Heterotroph,Troccoli_etal_2020
Tinerfe_cyanea,Dissostichus_eleginoides,Zooplankton,Fish_BenPel,Hunter,Heterotroph,Mianzan_etal_1996
Lepidonotothen_squamifrons,Dissostichus_eleginoides,Fish_BenPel,Fish_BenPel,Hunter,Heterotroph,Encyclopedia of Life
Themisto_gaudichaudii,Dissostichus_eleginoides,Zooplankton,Fish_BenPel,Hunter,Heterotroph,Encyclopedia of Life
Euphausia_spp,Dissostichus_eleginoides,Zooplankton,Fish_BenPel,Hunter,Heterotroph,McKenna_1991
Doryteuthis_gahi,Dissostichus_eleginoides,Cephalopoda,Fish_BenPel,Hunter,Heterotroph,GloBI
Enteroctopodidae,Dissostichus_eleginoides,Cephalopoda,Fish_BenPel,Hunter,Heterotroph,GloBI
Grimothea_gregaria,Dissostichus_eleginoides,Decapoda,Fish_BenPel,Hunter,Heterotroph,GloBI
Pagurus_comptus,Dissostichus_eleginoides,Decapoda,Fish_BenPel,Hunter,Heterotroph,GloBI
Muraenolepis_spp,Dissostichus_eleginoides,Fish_BenPel,Fish_BenPel,Hunter,Heterotroph,GloBI
Pogonolycus_elegans,Dissostichus_eleginoides,Fish_BenPel,Fish_BenPel,Hunter,Heterotroph,GloBI
Melanostigma_gelatinosum,Dissostichus_eleginoides,Fish_Demersal,Fish_BenPel,Hunter,Heterotroph,GloBI
Natatolana_pastorei,Dissostichus_eleginoides,Isopoda,Fish_BenPel,Hunter,Heterotroph,GloBI
Thymops_birsteini,Dissostichus_eleginoides,Decapoda,Fish_BenPel,Hunter,Heterotroph,Lovrich_pers.com.
Grimothea_gregaria,Doryteuthis_gahi,Decapoda,Cephalopoda,Hunter,Heterotroph,Phillips_etal_2003
Themisto_gaudichaudii,Doryteuthis_gahi,Zooplankton,Cephalopoda,Hunter,Heterotroph,Watts&Tarling_2012
Doryteuthis_gahi,Doryteuthis_gahi,Cephalopoda,Cephalopoda,Hunter,Heterotroph,Rosas-Luis_etal_2014
Salilota_australis,Doryteuthis_gahi,Fish_Demersal,Cephalopoda,Hunter,Heterotroph,Rosas-Luis_etal_2014
Euphausia_spp,Doryteuthis_gahi,Zooplankton,Cephalopoda,Hunter,Heterotroph,Rosas-Luis_etal_2014
Emiliania_huxleyi,Drepanopus_forcipatus,Coccolithophorids,Copepoda,Suspension-feeder,Primary producer,Antacli_etal_2014
Phaeocystis_antarctica,Drepanopus_forcipatus,Coccolithophorids,Copepoda,Suspension-feeder,Primary producer,Antacli_etal_2014
Diatoms_pennate,Drepanopus_forcipatus,Diatoms,Copepoda,Suspension-feeder,Primary producer,Antacli_etal_2014
Diatoms_benthic,Drepanopus_forcipatus,Diatoms,Copepoda,Suspension-feeder,Primary producer,Antacli_etal_2014
Rhizosolenia_crassa,Drepanopus_forcipatus,Diatoms,Copepoda,Suspension-feeder,Primary producer,Antacli_etal_2014
Dinoflagellates_heterosol,Drepanopus_forcipatus,Dinoflagellates,Copepoda,Suspension-feeder,Primary producer,Antacli_etal_2014
Dictyocha_speculum,Drepanopus_forcipatus,Silicoflagellates,Copepoda,Suspension-feeder,Primary producer,Antacli_etal_2014
Detritus,Eatoniella_spp,Non-living,Gastropoda,Deposit-feeder,Detritus,Encyclopedia of Life
